[2023.08.31 09:30:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445401260 <= 1693445401512, execute later
[2023.08.31 11:08:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448689450 <= 1693451308250, execute later
[2023.08.31 11:08:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448692280 <= 1693451314249, execute later
[2023.08.31 11:08:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449130680 <= 1693451317318, execute later
[2023.08.31 11:08:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448694730 <= 1693451320281, execute later
[2023.08.31 11:09:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449148678 <= 1693451338320, execute later
[2023.08.31 11:09:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449151631 <= 1693451341252, execute later
[2023.08.31 11:09:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448708640 <= 1693451347256, execute later
[2023.08.31 11:09:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449166629 <= 1693451362265, execute later
[2023.08.31 11:09:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448724740 <= 1693451377254, execute later
[2023.08.31 11:10:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449211630 <= 1693451416241, execute later
[2023.08.31 11:10:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448743470 <= 1693451419283, execute later
[2023.08.31 11:10:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449223738 <= 1693451425248, execute later
[2023.08.31 11:10:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448748720 <= 1693451431328, execute later
[2023.08.31 11:10:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449232628 <= 1693451437246, execute later
[2023.08.31 11:10:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449235627 <= 1693451440245, execute later
[2023.08.31 11:10:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448754740 <= 1693451443293, execute later
[2023.08.31 11:10:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449244627 <= 1693451449242, execute later
[2023.08.31 11:11:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449250626 <= 1693451458248, execute later
[2023.08.31 11:11:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449259641 <= 1693451470260, execute later
[2023.08.31 11:11:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449265718 <= 1693451479274, execute later
[2023.08.31 11:11:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448776430 <= 1693451482239, execute later
[2023.08.31 11:11:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449271624 <= 1693451485244, execute later
[2023.08.31 11:11:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448776630 <= 1693451488235, execute later
[2023.08.31 11:11:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449283622 <= 1693451497243, execute later
[2023.08.31 11:11:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449286622 <= 1693451503236, execute later
[2023.08.31 11:12:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449319681 <= 1693451545233, execute later
[2023.08.31 11:12:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448814750 <= 1693451569241, execute later
[2023.08.31 11:13:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449352629 <= 1693451584248, execute later
[2023.08.31 11:13:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449358628 <= 1693451590235, execute later
[2023.08.31 11:13:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449361628 <= 1693451590235, execute later
[2023.08.31 11:13:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449370627 <= 1693451605284, execute later
[2023.08.31 11:13:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449373627 <= 1693451608238, execute later
[2023.08.31 11:13:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449385626 <= 1693451629241, execute later
[2023.08.31 11:14:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448854220 <= 1693451650276, execute later
[2023.08.31 11:14:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449400702 <= 1693451650276, execute later
[2023.08.31 11:14:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449403624 <= 1693451653243, execute later
[2023.08.31 11:14:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449412623 <= 1693451668236, execute later
[2023.08.31 11:14:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449415622 <= 1693451671246, execute later
[2023.08.31 11:14:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449421622 <= 1693451677237, execute later
[2023.08.31 11:15:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448885800 <= 1693451716240, execute later
[2023.08.31 11:15:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449454627 <= 1693451716240, execute later
[2023.08.31 11:15:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449460642 <= 1693451725246, execute later
[2023.08.31 11:15:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448896070 <= 1693451734242, execute later
[2023.08.31 11:15:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449469610 <= 1693451734242, execute later
[2023.08.31 11:15:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448899350 <= 1693451740253, execute later
[2023.08.31 11:15:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448901080 <= 1693451749277, execute later
[2023.08.31 11:15:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449481624 <= 1693451752290, execute later
[2023.08.31 11:15:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448904760 <= 1693451755274, execute later
[2023.08.31 11:16:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448916730 <= 1693451782238, execute later
[2023.08.31 11:16:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449508621 <= 1693451794251, execute later
[2023.08.31 11:16:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449514636 <= 1693451803272, execute later
[2023.08.31 11:16:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449517620 <= 1693451806240, execute later
[2023.08.31 11:16:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448928210 <= 1693451809234, execute later
[2023.08.31 11:17:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448938420 <= 1693451821228, execute later
[2023.08.31 11:17:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449532634 <= 1693451824234, execute later
[2023.08.31 11:17:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449535634 <= 1693451827239, execute later
[2023.08.31 11:17:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448953320 <= 1693451857254, execute later
[2023.08.31 11:17:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448954770 <= 1693451860217, execute later
[2023.08.31 11:17:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449559678 <= 1693451866234, execute later
[2023.08.31 11:17:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449565615 <= 1693451878275, execute later
[2023.08.31 11:18:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449577614 <= 1693451896237, execute later
[2023.08.31 11:18:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449580629 <= 1693451902266, execute later
[2023.08.31 11:18:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449583613 <= 1693451905265, execute later
[2023.08.31 11:18:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449586629 <= 1693451908220, execute later
[2023.08.31 11:18:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449595643 <= 1693451920227, execute later
[2023.08.31 11:18:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449598612 <= 1693451923228, execute later
[2023.08.31 11:18:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448988750 <= 1693451926228, execute later
[2023.08.31 11:19:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449610610 <= 1693451947225, execute later
[2023.08.31 11:19:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693448998470 <= 1693451947225, execute later
[2023.08.31 11:19:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449613610 <= 1693451950224, execute later
[2023.08.31 11:19:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449622609 <= 1693451962224, execute later
[2023.08.31 11:19:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449631645 <= 1693451977289, execute later
[2023.08.31 11:19:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449010410 <= 1693451977289, execute later
[2023.08.31 11:19:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449014770 <= 1693451992223, execute later
[2023.08.31 11:19:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449643691 <= 1693451995233, execute later
[2023.08.31 11:19:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449646613 <= 1693451998281, execute later
[2023.08.31 11:20:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449024880 <= 1693452016226, execute later
[2023.08.31 11:20:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449030640 <= 1693452028223, execute later
[2023.08.31 11:20:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449034410 <= 1693452037288, execute later
[2023.08.31 11:20:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449676609 <= 1693452037288, execute later
[2023.08.31 11:20:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449679656 <= 1693452043227, execute later
[2023.08.31 11:20:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449682609 <= 1693452046221, execute later
[2023.08.31 11:20:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449038490 <= 1693452049274, execute later
[2023.08.31 11:20:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449688671 <= 1693452052208, execute later
[2023.08.31 11:20:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449691623 <= 1693452055291, execute later
[2023.08.31 11:21:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449694654 <= 1693452058211, execute later
[2023.08.31 11:21:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449697607 <= 1693452064217, execute later
[2023.08.31 11:21:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449058410 <= 1693452088206, execute later
[2023.08.31 11:21:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449727604 <= 1693452097216, execute later
[2023.08.31 11:21:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449730604 <= 1693452103223, execute later
[2023.08.31 11:21:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449733619 <= 1693452106223, execute later
[2023.08.31 11:21:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449067190 <= 1693452109258, execute later
[2023.08.31 11:21:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449739649 <= 1693452112219, execute later
[2023.08.31 11:21:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449742602 <= 1693452115256, execute later
[2023.08.31 11:22:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449748617 <= 1693452121253, execute later
[2023.08.31 11:22:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449073360 <= 1693452124209, execute later
[2023.08.31 11:22:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449760616 <= 1693452136254, execute later
[2023.08.31 11:22:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449082420 <= 1693452151210, execute later
[2023.08.31 11:22:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449772599 <= 1693452157212, execute later
[2023.08.31 11:22:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449086020 <= 1693452172218, execute later
[2023.08.31 11:22:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449092460 <= 1693452178209, execute later
[2023.08.31 11:23:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449092660 <= 1693452193256, execute later
[2023.08.31 11:23:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449106410 <= 1693452199222, execute later
[2023.08.31 11:23:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449802596 <= 1693452199222, execute later
[2023.08.31 11:23:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449805595 <= 1693452202211, execute later
[2023.08.31 11:23:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449108750 <= 1693452205253, execute later
[2023.08.31 11:23:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449808652 <= 1693452205253, execute later
[2023.08.31 11:23:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449811605 <= 1693452208216, execute later
[2023.08.31 11:23:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449110370 <= 1693452211206, execute later
[2023.08.31 11:23:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449814621 <= 1693452211206, execute later
[2023.08.31 11:23:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449120330 <= 1693452226219, execute later
[2023.08.31 11:23:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449829625 <= 1693452229217, execute later
[2023.08.31 11:24:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449132760 <= 1693452253207, execute later
[2023.08.31 11:24:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449850672 <= 1693452259209, execute later
[2023.08.31 11:24:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449853625 <= 1693452265209, execute later
[2023.08.31 11:24:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449137170 <= 1693452268289, execute later
[2023.08.31 11:24:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449140560 <= 1693452274201, execute later
[2023.08.31 11:24:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449868609 <= 1693452283239, execute later
[2023.08.31 11:24:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449146030 <= 1693452286197, execute later
[2023.08.31 11:24:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449150310 <= 1693452289254, execute later
[2023.08.31 11:24:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449877594 <= 1693452292207, execute later
[2023.08.31 11:24:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449883641 <= 1693452298211, execute later
[2023.08.31 11:25:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449889609 <= 1693452304207, execute later
[2023.08.31 11:25:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449159370 <= 1693452307209, execute later
[2023.08.31 11:25:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449165420 <= 1693452322252, execute later
[2023.08.31 11:25:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449904594 <= 1693452331209, execute later
[2023.08.31 11:25:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449175360 <= 1693452337263, execute later
[2023.08.31 11:25:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449176470 <= 1693452343254, execute later
[2023.08.31 11:25:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449916590 <= 1693452349203, execute later
[2023.08.31 11:26:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449928622 <= 1693452370195, execute later
[2023.08.31 11:26:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449931601 <= 1693452373197, execute later
[2023.08.31 11:26:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449940681 <= 1693452382240, execute later
[2023.08.31 11:26:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449949599 <= 1693452391307, execute later
[2023.08.31 11:26:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449952631 <= 1693452397209, execute later
[2023.08.31 11:26:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449955605 <= 1693452400274, execute later
[2023.08.31 11:26:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449207930 <= 1693452409232, execute later
[2023.08.31 11:27:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449970608 <= 1693452424231, execute later
[2023.08.31 11:27:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449224790 <= 1693452433243, execute later
[2023.08.31 11:27:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449985644 <= 1693452442194, execute later
[2023.08.31 11:27:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449226900 <= 1693452442194, execute later
[2023.08.31 11:27:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449991607 <= 1693452448225, execute later
[2023.08.31 11:27:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449237430 <= 1693452454206, execute later
[2023.08.31 11:27:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449994618 <= 1693452454206, execute later
[2023.08.31 11:27:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449997600 <= 1693452457193, execute later
[2023.08.31 11:27:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450000598 <= 1693452466204, execute later
[2023.08.31 11:27:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450003670 <= 1693452469203, execute later
[2023.08.31 11:27:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449245660 <= 1693452469203, execute later
[2023.08.31 11:27:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450006604 <= 1693452472195, execute later
[2023.08.31 11:27:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450009608 <= 1693452475192, execute later
[2023.08.31 11:27:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449249140 <= 1693452478202, execute later
[2023.08.31 11:28:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449251340 <= 1693452484239, execute later
[2023.08.31 11:28:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449261020 <= 1693452502194, execute later
[2023.08.31 11:28:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450036600 <= 1693452502194, execute later
[2023.08.31 11:28:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450039741 <= 1693452505204, execute later
[2023.08.31 11:28:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450048595 <= 1693452514194, execute later
[2023.08.31 11:28:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450051601 <= 1693452517209, execute later
[2023.08.31 11:28:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450063632 <= 1693452532254, execute later
[2023.08.31 11:28:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450066596 <= 1693452535187, execute later
[2023.08.31 11:29:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450075608 <= 1693452544232, execute later
[2023.08.31 11:29:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450078596 <= 1693452547195, execute later
[2023.08.31 11:29:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450081614 <= 1693452547195, execute later
[2023.08.31 11:29:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449288240 <= 1693452556224, execute later
[2023.08.31 11:29:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450090593 <= 1693452556224, execute later
[2023.08.31 11:29:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450099599 <= 1693452565190, execute later
[2023.08.31 11:29:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450102620 <= 1693452568205, execute later
[2023.08.31 11:29:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450108594 <= 1693452574258, execute later
[2023.08.31 11:29:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450114591 <= 1693452580202, execute later
[2023.08.31 11:29:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449304920 <= 1693452586266, execute later
[2023.08.31 11:29:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450123590 <= 1693452586266, execute later
[2023.08.31 11:29:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450126618 <= 1693452589194, execute later
[2023.08.31 11:29:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449309130 <= 1693452592194, execute later
[2023.08.31 11:30:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449318440 <= 1693452601186, execute later
[2023.08.31 11:30:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450144653 <= 1693452601186, execute later
[2023.08.31 11:30:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449322290 <= 1693452601186, execute later
[2023.08.31 11:30:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450156596 <= 1693452601186, execute later
[2023.08.31 11:30:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450177666 <= 1693452601186, execute later
[2023.08.31 11:30:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450180619 <= 1693452601186, execute later
[2023.08.31 11:31:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450192639 <= 1693452601186, execute later
[2023.08.31 11:31:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450195595 <= 1693452601186, execute later
[2023.08.31 11:31:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450201597 <= 1693452601186, execute later
[2023.08.31 11:31:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450204590 <= 1693452601186, execute later
[2023.08.31 11:31:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449364870 <= 1693452601186, execute later
[2023.08.31 11:31:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449369400 <= 1693452601186, execute later
[2023.08.31 11:31:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450216618 <= 1693452601186, execute later
[2023.08.31 11:31:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450219593 <= 1693452601186, execute later
[2023.08.31 11:32:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450228591 <= 1693452601186, execute later
[2023.08.31 11:32:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449378890 <= 1693452601186, execute later
[2023.08.31 11:32:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450234591 <= 1693452601186, execute later
[2023.08.31 11:32:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450237588 <= 1693452601186, execute later
[2023.08.31 11:32:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450240595 <= 1693452601186, execute later
[2023.08.31 11:32:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450249668 <= 1693452601186, execute later
[2023.08.31 11:32:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449385160 <= 1693452601186, execute later
[2023.08.31 11:32:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450252597 <= 1693452601186, execute later
[2023.08.31 11:32:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450261590 <= 1693452601186, execute later
[2023.08.31 11:33:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450273588 <= 1693452601186, execute later
[2023.08.31 11:33:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449408380 <= 1693452601186, execute later
[2023.08.31 11:33:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450288587 <= 1693452601186, execute later
[2023.08.31 11:33:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450297580 <= 1693452601186, execute later
[2023.08.31 11:33:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449417260 <= 1693452601186, execute later
[2023.08.31 11:33:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449419680 <= 1693452601186, execute later
[2023.08.31 11:33:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449425750 <= 1693452601186, execute later
[2023.08.31 11:33:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450312581 <= 1693452601186, execute later
[2023.08.31 11:34:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450318588 <= 1693452601186, execute later
[2023.08.31 11:34:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449425950 <= 1693452601186, execute later
[2023.08.31 11:34:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450327576 <= 1693452601186, execute later
[2023.08.31 11:34:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449438500 <= 1693452601186, execute later
[2023.08.31 11:34:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693449438700 <= 1693452601186, execute later
[2023.08.31 11:34:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450336572 <= 1693452601186, execute later
[2023.08.31 11:34:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450342573 <= 1693452601186, execute later
[2023.08.31 11:34:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450348604 <= 1693452601186, execute later
[2023.08.31 11:34:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693450357649 <= 1693452601186, execute later
